time/episodes,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/success_rate,curriculum/epsilon,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,eval/clean_mean_d,eval/clean_success_rate
352,49,-4.837318420410156,0.05986464396119118,-1.84,0.009484546259045601,356,1.0,0.2581333333333333,17499,17600,0.0003,50.0,-4.031805515289307,,
356,49,-4.92348575592041,0.0466165728867054,-1.86,0.009090024046599865,360,1.0,0.26106666666666667,17699,17800,0.0003,50.0,-3.622413396835327,,
360,49,-5.028013706207275,0.061202533543109894,-1.9,0.008762741461396217,364,1.0,0.264,17899,18000,0.0003,50.0,-3.74876070022583,,
364,49,-4.783395767211914,0.05788902938365936,-1.86,0.008477125316858292,368,1.0,0.2669333333333333,18099,18200,0.0003,50.0,-3.5573806762695312,,
368,49,-4.8274383544921875,0.05542276054620743,-1.88,0.008166806772351265,372,1.0,0.26986666666666664,18299,18400,0.0003,50.0,-3.1895294189453125,,
372,49,-4.772426605224609,0.061693497002124786,-1.88,0.007876169867813587,377,1.0,0.2728,18499,18600,0.0003,50.0,-1.5085768699645996,,
376,49,-4.806069374084473,0.057664476335048676,-1.85,0.007498919498175383,381,1.0,0.27573333333333333,18699,18800,0.0003,50.0,-2.3639748096466064,,
380,49,-4.872347354888916,0.050981082022190094,-1.88,0.007196536287665367,385,1.0,0.2786666666666667,18899,19000,0.0003,50.0,-1.983947515487671,,
384,49,-4.85505485534668,0.06292276084423065,-1.89,0.006976412609219551,389,1.0,0.2816,19099,19200,0.0003,50.0,-1.2004083395004272,,
388,49,-4.997837543487549,0.056324344128370285,-1.87,0.006746778730303049,393,1.0,0.2845333333333333,19299,19400,0.0003,50.0,-2.4128684997558594,,
392,49,-4.5968804359436035,0.059311166405677795,-1.9,0.006525863893330097,397,1.0,0.28746666666666665,19499,19600,0.0003,50.0,-0.13201233744621277,,
396,49,-4.829813003540039,0.05040813237428665,-1.97,0.006251221988350153,401,1.0,0.2904,19699,19800,0.0003,50.0,-2.9048376083374023,,
400,49,-4.853329658508301,0.048455387353897095,-1.96,0.006030823104083538,408,1.0,0.29333333333333333,19899,20000,0.0003,50.0,-1.8386797904968262,0.013776600619938165,1.0
404,49,-4.857933521270752,0.048748962581157684,-1.92,0.005898837931454182,412,1.0,0.2962666666666667,20099,20200,0.0003,50.0,-1.4017271995544434,,
408,49,-4.802659034729004,0.045861225575208664,-1.92,0.005694883409887552,416,1.0,0.29919999999999997,20299,20400,0.0003,50.0,-1.6563785076141357,,
412,49,-4.6953020095825195,0.04475262761116028,-1.9,0.005530551075935364,420,1.0,0.3021333333333333,20499,20600,0.0003,50.0,0.008954405784606934,,
416,49,-4.7540669441223145,0.03821747004985809,-1.94,0.005366020370274782,424,1.0,0.30506666666666665,20699,20800,0.0003,50.0,0.0599881112575531,,
420,48,-4.793034076690674,0.05111004784703255,-1.98,0.005250734742730856,428,1.0,0.308,20899,21000,0.0003,50.0,-0.7447024583816528,,
424,48,-4.7405781745910645,0.04448172450065613,-1.97,0.005144986789673567,432,1.0,0.31093333333333334,21099,21200,0.0003,50.0,-1.5293028354644775,,
428,48,-4.86669397354126,0.045801155269145966,-1.98,0.005104809533804655,437,1.0,0.3138666666666667,21299,21400,0.0003,50.0,-2.0073986053466797,,
432,48,-4.791867733001709,0.04530712217092514,-2.02,0.005020495504140854,441,1.0,0.31679999999999997,21499,21600,0.0003,50.0,-1.064666986465454,,
436,48,-4.744891166687012,0.04619886726140976,-2.02,0.004872067831456661,445,1.0,0.3197333333333333,21699,21800,0.0003,50.0,-2.356496810913086,,
