time/episodes,rollout/success_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,curriculum/epsilon,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,eval/clean_mean_d,eval/clean_success_rate
152,0.0,-12.003944396972656,-49.1,14,0.3344,0.14301730692386627,0.10950787365436554,0.0003,7499,50.0,7600,-7.265688896179199,512,,
156,0.009999999776482582,-11.936081886291504,-48.93,14,0.3432,0.12667572498321533,0.10368931293487549,0.0003,7699,50.0,7800,-7.134136199951172,525,,
160,0.009999999776482582,-12.269729614257812,-48.77,14,0.352,0.15519431233406067,0.09818852692842484,0.0003,7899,50.0,8000,-6.553563594818115,539,,
164,0.009999999776482582,-12.166926383972168,-48.66,14,0.3608,0.12688878178596497,0.09297573566436768,0.0003,8099,50.0,8200,-6.553292274475098,552,,
168,0.009999999776482582,-12.365931510925293,-48.32,14,0.3696,0.14324235916137695,0.0880943164229393,0.0003,8299,50.0,8400,-5.983281135559082,566,,
172,0.019999999552965164,-11.679561614990234,-48.06,14,0.3784,0.1402154117822647,0.08347027748823166,0.0003,8499,50.0,8600,-5.597846984863281,579,,
176,0.019999999552965164,-11.977093696594238,-47.89,14,0.3872,0.1412436068058014,0.07911676913499832,0.0003,8699,50.0,8800,-5.257803916931152,592,,
180,0.019999999552965164,-11.237585067749023,-47.83,14,0.39599999999999996,0.13980704545974731,0.07504326850175858,0.0003,8899,50.0,9000,-4.967704772949219,606,,
184,0.029999999329447746,-12.042603492736816,-47.24,14,0.4048,0.14585793018341064,0.07120686024427414,0.0003,9099,50.0,9200,-4.55036735534668,619,,
188,0.05000000074505806,-11.96253776550293,-46.75,14,0.41359999999999997,0.1383209377527237,0.0675610676407814,0.0003,9299,50.0,9400,-4.200493335723877,633,,
192,0.07999999821186066,-11.520869255065918,-45.64,14,0.4224,0.11664199829101562,0.06409573554992676,0.0003,9499,50.0,9600,-4.2795023918151855,646,,
196,0.11999999731779099,-11.364896774291992,-44.28,14,0.43119999999999997,0.15604262053966522,0.06082648038864136,0.0003,9699,50.0,9800,-3.924349308013916,660,,
200,0.12999999523162842,-10.436899185180664,-43.84,14,0.44,0.10714437812566757,0.057766858488321304,0.0003,9899,50.0,10000,-3.778315544128418,678,0.019770585242781805,1.0
204,0.15000000596046448,-11.023106575012207,-42.58,14,0.4488,0.15540727972984314,0.05488695204257965,0.0003,10099,50.0,10200,-3.632190227508545,692,,
208,0.18000000715255737,-10.256364822387695,-41.04,14,0.4576,0.15547531843185425,0.052176374942064285,0.0003,10299,50.0,10400,-3.562613010406494,706,,
212,0.20999999344348907,-10.987489700317383,-39.68,14,0.4664,0.14448505640029907,0.04959722235798836,0.0003,10499,50.0,10600,-3.4674437046051025,720,,
216,0.23000000417232513,-10.149174690246582,-38.36,14,0.4752,0.15179607272148132,0.0471733920276165,0.0003,10699,50.0,10800,-2.930708646774292,733,,
220,0.27000001072883606,-9.54203987121582,-36.71,14,0.484,0.14262206852436066,0.04486769437789917,0.0003,10899,50.0,11000,-2.913652181625366,747,,
224,0.3100000023841858,-8.813314437866211,-34.98,14,0.49279999999999996,0.1394876092672348,0.042689088732004166,0.0003,11099,50.0,11200,-2.672903060913086,760,,
228,0.3400000035762787,-10.345928192138672,-33.49,14,0.5015999999999999,0.1665990650653839,0.04063937067985535,0.0003,11299,50.0,11400,-2.4290902614593506,773,,
232,0.3799999952316284,-8.791179656982422,-31.66,14,0.5104,0.13749930262565613,0.038670845329761505,0.0003,11499,50.0,11600,-2.193267583847046,785,,
236,0.41999998688697815,-9.648673057556152,-29.91,14,0.5192,0.13200980424880981,0.0368465892970562,0.0003,11699,50.0,11800,-2.259766101837158,798,,
240,0.46000000834465027,-9.492043495178223,-28.2,14,0.528,0.14640575647354126,0.035081855952739716,0.0003,11899,50.0,12000,-2.3215315341949463,811,,
244,0.5,-8.019804000854492,-26.43,14,0.5367999999999999,0.16437214612960815,0.033449746668338776,0.0003,12099,50.0,12200,-2.152761459350586,824,,
248,0.5400000214576721,-8.3429594039917,-24.6,14,0.5456,0.1323336362838745,0.03194231167435646,0.0003,12299,50.0,12400,-2.211501359939575,837,,
252,0.5799999833106995,-8.52379035949707,-22.93,14,0.5544,0.1477082520723343,0.03042588010430336,0.0003,12499,50.0,12600,-2.4423329830169678,850,,
256,0.6000000238418579,-8.395730018615723,-21.44,14,0.5632,0.1599770188331604,0.029043350368738174,0.0003,12699,50.0,12800,-2.2354063987731934,862,,
260,0.6399999856948853,-6.7552266120910645,-20.0,14,0.572,0.16030627489089966,0.027715202420949936,0.0003,12899,50.0,13000,-2.173757553100586,875,,
264,0.6800000071525574,-7.056558609008789,-18.19,14,0.5808,0.15071025490760803,0.026482468470931053,0.0003,13099,50.0,13200,-2.3230111598968506,888,,
268,0.7200000286102295,-6.41190767288208,-16.75,14,0.5896,0.1305091679096222,0.0253000408411026,0.0003,13299,50.0,13400,-1.851443886756897,901,,
272,0.7400000095367432,-6.502083778381348,-15.3,14,0.5983999999999999,0.11493706703186035,0.02415420301258564,0.0003,13499,50.0,13600,-2.1338186264038086,913,,
276,0.7799999713897705,-7.322491645812988,-13.56,14,0.6072,0.12713265419006348,0.0230298712849617,0.0003,13699,50.0,13800,-1.8752140998840332,926,,
280,0.8100000023841858,-7.816926002502441,-12.07,14,0.616,0.12327074259519577,0.021872205659747124,0.0003,13899,50.0,14000,-2.277761936187744,939,,
284,0.8399999737739563,-5.631448268890381,-10.93,14,0.6248,0.15351246297359467,0.020854398608207703,0.0003,14099,50.0,14200,-2.229999303817749,952,,
288,0.8600000143051147,-6.448816299438477,-9.82,14,0.6335999999999999,0.12656603753566742,0.01989830657839775,0.0003,14299,50.0,14400,-2.2608156204223633,964,,
292,0.8700000047683716,-5.258068561553955,-9.1,14,0.6424,0.16992346942424774,0.019019821658730507,0.0003,14499,50.0,14600,-2.0731608867645264,977,,
296,0.8700000047683716,-5.227539539337158,-8.52,14,0.6512,0.13353785872459412,0.018189864233136177,0.0003,14699,50.0,14800,-2.0048131942749023,990,,
300,0.8999999761581421,-5.97029972076416,-7.2,14,0.66,0.12584272027015686,0.017405414953827858,0.0003,14899,50.0,15000,-2.53433895111084,1007,0.009271045969818861,1.0
304,0.9200000166893005,-5.079335689544678,-6.65,14,0.6688,0.12952850759029388,0.016688041388988495,0.0003,15099,50.0,15200,-2.1599931716918945,1020,,
308,0.9300000071525574,-4.485351085662842,-6.5,14,0.6776,0.15207909047603607,0.015969205647706985,0.0003,15299,50.0,15400,-2.023782253265381,1033,,
312,0.9399999976158142,-5.583798408508301,-6.04,14,0.6864,0.15032443404197693,0.015226337127387524,0.0003,15499,50.0,15600,-2.441978931427002,1046,,
