time/episodes,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/success_rate,curriculum/epsilon,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,eval/clean_mean_d,eval/clean_success_rate
420,43,-3.7329180240631104,0.041824400424957275,-1.87,0.005128145217895508,486,1.0,0.308,20899,21000,0.0003,50.0,-1.9109039306640625,,
424,43,-3.531132698059082,0.04461217299103737,-1.87,0.004999406170099974,490,1.0,0.31093333333333334,21099,21200,0.0003,50.0,0.3090116083621979,,
428,43,-3.657768487930298,0.05343328416347504,-1.84,0.004834447987377644,495,1.0,0.3138666666666667,21299,21400,0.0003,50.0,-1.1424684524536133,,
432,43,-3.7155189514160156,0.036794766783714294,-1.88,0.00474915886297822,500,1.0,0.31679999999999997,21499,21600,0.0003,50.0,-1.4912264347076416,,
436,43,-3.721745491027832,0.05647754296660423,-1.91,0.004695945419371128,504,1.0,0.3197333333333333,21699,21800,0.0003,50.0,-0.6535489559173584,,
440,43,-3.661742687225342,0.03385254740715027,-1.94,0.004629289265722036,509,1.0,0.32266666666666666,21899,22000,0.0003,50.0,-1.9682892560958862,,
444,43,-3.5378496646881104,0.04092184454202652,-1.92,0.004594626370817423,513,1.0,0.3256,22099,22200,0.0003,50.0,1.0892020463943481,,
448,43,-3.463991165161133,0.04536106064915657,-1.92,0.0045633683912456036,518,1.0,0.32853333333333334,22299,22400,0.0003,50.0,-1.2155439853668213,,
452,43,-3.549114942550659,0.04914235323667526,-1.94,0.004434221889823675,522,1.0,0.33146666666666663,22499,22600,0.0003,50.0,0.279291570186615,,
456,43,-3.643310546875,0.04322618991136551,-1.96,0.0044057900086045265,527,1.0,0.3344,22699,22800,0.0003,50.0,-0.5628818273544312,,
460,43,-3.62502121925354,0.039813876152038574,-1.97,0.004247418604791164,532,1.0,0.3373333333333333,22899,23000,0.0003,50.0,-1.976740837097168,,
464,43,-3.276214122772217,0.048616498708724976,-1.98,0.004168138839304447,536,1.0,0.34026666666666666,23099,23200,0.0003,50.0,0.4009959101676941,,
468,43,-3.628072500228882,0.04744124040007591,-1.97,0.004059245344251394,541,1.0,0.3432,23299,23400,0.0003,50.0,-2.3530120849609375,,
472,43,-3.4466633796691895,0.041807621717453,-1.97,0.003932894207537174,545,1.0,0.34613333333333335,23499,23600,0.0003,50.0,-1.3513890504837036,,
476,43,-3.4037625789642334,0.04456934332847595,-1.98,0.003945524338632822,550,1.0,0.34906666666666664,23699,23800,0.0003,50.0,1.2444082498550415,,
480,43,-3.4002737998962402,0.042693283408880234,-2.0,0.003932963591068983,554,1.0,0.352,23899,24000,0.0003,50.0,-0.46957504749298096,,
484,43,-3.348590850830078,0.035130564123392105,-2.04,0.0037607888225466013,559,1.0,0.3549333333333333,24099,24200,0.0003,50.0,0.3707364797592163,,
488,43,-3.399643898010254,0.04349973052740097,-2.05,0.0036964924074709415,563,1.0,0.35786666666666667,24299,24400,0.0003,50.0,-1.0486910343170166,,
492,43,-3.427745819091797,0.04315842688083649,-2.02,0.00367434648796916,568,1.0,0.3608,24499,24600,0.0003,50.0,0.026054292917251587,,
496,43,-3.1928179264068604,0.03877745941281319,-2.01,0.003625989891588688,572,1.0,0.3637333333333333,24699,24800,0.0003,50.0,-0.9898391366004944,,
500,43,-3.37104868888855,0.04345638304948807,-2.02,0.0036096996627748013,579,1.0,0.36666666666666664,24899,25000,0.0003,50.0,-2.0384323596954346,0.010977921218995249,1.0
504,43,-3.318115711212158,0.04377199336886406,-2.05,0.0035417373292148113,584,1.0,0.3696,25099,25200,0.0003,50.0,2.5468573570251465,,
508,43,-3.3206138610839844,0.055176250636577606,-2.06,0.003483131993561983,589,1.0,0.3725333333333333,25299,25400,0.0003,50.0,-1.4162678718566895,,
512,43,-3.0423743724823,0.040054064244031906,-2.05,0.003450037445873022,593,1.0,0.37546666666666667,25499,25600,0.0003,50.0,1.5157840251922607,,
516,43,-3.180898666381836,0.044093772768974304,-2.03,0.0034742276184260845,597,1.0,0.3784,25699,25800,0.0003,50.0,0.26501479744911194,,
520,43,-3.3100593090057373,0.025838259607553482,-2.02,0.003409560536965728,602,1.0,0.3813333333333333,25899,26000,0.0003,50.0,-1.6226587295532227,,
524,43,-3.126274585723877,0.03702743351459503,-2.01,0.003326460951939225,607,1.0,0.38426666666666665,26099,26200,0.0003,50.0,-0.07458996772766113,,
528,43,-3.171248197555542,0.033277738839387894,-2.05,0.003286795923486352,611,1.0,0.3872,26299,26400,0.0003,50.0,-0.7847177386283875,,
532,43,-3.2740256786346436,0.03229378163814545,-2.08,0.003228388726711273,616,1.0,0.39013333333333333,26499,26600,0.0003,50.0,-2.1984968185424805,,
536,43,-3.1686606407165527,0.035900846123695374,-2.09,0.0031705128494650126,620,1.0,0.3930666666666667,26699,26800,0.0003,50.0,0.12457287311553955,,
540,43,-3.1634154319763184,0.028243601322174072,-2.07,0.0031441107857972383,625,1.0,0.39599999999999996,26899,27000,0.0003,50.0,0.8491454720497131,,
544,43,-3.1677815914154053,0.03535522148013115,-2.13,0.0031387435737997293,629,1.0,0.3989333333333333,27099,27200,0.0003,50.0,-0.9136160612106323,,
548,43,-3.265831232070923,0.03176706284284592,-2.14,0.003104700706899166,634,1.0,0.40186666666666665,27299,27400,0.0003,50.0,-2.658560037612915,,
552,43,-3.114542007446289,0.031239651143550873,-2.13,0.0030942028388381004,638,1.0,0.4048,27499,27600,0.0003,50.0,0.003299891948699951,,
556,43,-3.037191390991211,0.038596950471401215,-2.15,0.0030680762138217688,643,1.0,0.40773333333333334,27699,27800,0.0003,50.0,1.4987529516220093,,
560,43,-3.1662425994873047,0.029970891773700714,-2.1,0.0030060699209570885,647,1.0,0.4106666666666667,27899,28000,0.0003,50.0,-2.5692715644836426,,
564,43,-3.120558738708496,0.03294430673122406,-2.07,0.0028886119835078716,652,1.0,0.41359999999999997,28099,28200,0.0003,50.0,-2.472860097885132,,
568,43,-2.935044765472412,0.037793759256601334,-2.1,0.002800184767693281,656,1.0,0.4165333333333333,28299,28400,0.0003,50.0,0.8890539407730103,,
572,43,-2.9592080116271973,0.03460562974214554,-2.12,0.0027566589415073395,661,1.0,0.41946666666666665,28499,28600,0.0003,50.0,0.3212709426879883,,
576,43,-2.9650962352752686,0.0445842519402504,-2.12,0.0027460833080112934,666,1.0,0.4224,28699,28800,0.0003,50.0,0.6687840223312378,,
580,43,-2.9280197620391846,0.03314937651157379,-2.13,0.0027408478781580925,670,1.0,0.42533333333333334,28899,29000,0.0003,50.0,0.33502137660980225,,
584,43,-2.95847749710083,0.03624282777309418,-2.11,0.002727018902078271,675,1.0,0.42826666666666663,29099,29200,0.0003,50.0,-0.8041400909423828,,
588,43,-2.9069926738739014,0.038956671953201294,-2.1,0.0026980808470398188,679,1.0,0.43119999999999997,29299,29400,0.0003,50.0,-1.3210442066192627,,
592,43,-2.9568872451782227,0.032281797379255295,-2.1,0.0026814087759703398,684,1.0,0.4341333333333333,29499,29600,0.0003,50.0,0.3912789225578308,,
596,43,-2.763430118560791,0.03391614928841591,-2.07,0.002624981803819537,689,1.0,0.43706666666666666,29699,29800,0.0003,50.0,2.058074951171875,,
600,43,-2.8016583919525146,0.02425619587302208,-2.1,0.002542718080803752,696,1.0,0.44,29899,30000,0.0003,50.0,0.15202540159225464,0.007248784118390335,1.0
604,43,-2.8793745040893555,0.027364514768123627,-2.1,0.0025005326606333256,700,1.0,0.44293333333333335,30099,30200,0.0003,50.0,-1.1436275243759155,,
