rollout/success_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,curriculum/epsilon,train/critic_loss,time/episodes,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/clean_success_rate,eval/clean_mean_d
1.0,50.0,15400,54,-1.83,0.0,0.06836605817079544,308,15299,-4.687330722808838,282,0.0003,-5.576908588409424,0.015535818412899971,,
1.0,50.0,15600,54,-1.83,0.0,0.059798844158649445,312,15499,-4.731180667877197,285,0.0003,-6.394529819488525,0.014791104011237621,,
1.0,50.0,15800,54,-1.81,0.0,0.05558658018708229,316,15699,-4.808159828186035,289,0.0003,-6.689487934112549,0.014090959914028645,,
1.0,50.0,16000,54,-1.8,0.0,0.07425327599048615,320,15899,-4.7570695877075195,292,0.0003,-6.372729778289795,0.013426288031041622,,
1.0,50.0,16200,54,-1.78,0.0,0.08686534315347672,324,16099,-4.809776306152344,295,0.0003,-6.673578262329102,0.012813958339393139,,
1.0,50.0,16400,54,-1.77,0.0,0.05258750170469284,328,16299,-4.727237224578857,299,0.0003,-5.424837589263916,0.012241498567163944,,
1.0,50.0,16600,54,-1.76,0.0,0.0631239265203476,332,16499,-4.553619384765625,302,0.0003,-4.0808024406433105,0.011676965281367302,,
1.0,50.0,16800,54,-1.73,0.0,0.062390267848968506,336,16699,-4.650967597961426,305,0.0003,-4.631469249725342,0.011142685078084469,,
1.0,50.0,17000,54,-1.76,0.0,0.05535194277763367,340,16899,-4.719834804534912,309,0.0003,-3.929213523864746,0.010671702213585377,,
1.0,50.0,17200,55,-1.75,0.0,0.05762572959065437,344,17099,-4.574059963226318,312,0.0003,-4.760814189910889,0.010210076346993446,,
1.0,50.0,17400,55,-1.74,0.0,0.04570803791284561,348,17299,-4.551079273223877,315,0.0003,-3.7054855823516846,0.009752636775374413,,
1.0,50.0,17600,55,-1.7,0.0,0.059626512229442596,352,17499,-4.607208728790283,319,0.0003,-4.469708442687988,0.009361129254102707,,
1.0,50.0,17800,55,-1.7,0.0,0.03796786814928055,356,17699,-4.536110877990723,322,0.0003,-2.324777364730835,0.00897686742246151,,
1.0,50.0,18000,55,-1.71,0.0,0.05372557044029236,360,17899,-4.652825355529785,326,0.0003,-4.034529685974121,0.008646338246762753,,
1.0,50.0,18200,55,-1.67,0.0,0.05713582783937454,364,18099,-4.435763359069824,329,0.0003,-3.870931625366211,0.008329733274877071,,
1.0,50.0,18400,55,-1.68,0.0,0.04999849200248718,368,18299,-4.533915042877197,332,0.0003,-2.4247183799743652,0.007988235913217068,,
1.0,50.0,18600,55,-1.68,0.0,0.04878564178943634,372,18499,-4.4710845947265625,336,0.0003,-0.7296212315559387,0.00772339990362525,,
1.0,50.0,18800,55,-1.65,0.0,0.05017070844769478,376,18699,-4.488028526306152,339,0.0003,-2.852931499481201,0.007430075202137232,,
1.0,50.0,19000,55,-1.66,0.0,0.04510682076215744,380,18899,-4.526755332946777,343,0.0003,-1.640581488609314,0.007170246914029121,,
1.0,50.0,19200,55,-1.68,0.0,0.045411672443151474,384,19099,-4.543740272521973,347,0.0003,-1.506708025932312,0.0069520543329417706,,
1.0,50.0,19400,55,-1.67,0.0,0.059815242886543274,388,19299,-4.659725666046143,351,0.0003,-2.1460447311401367,0.006714328657835722,,
1.0,50.0,19600,55,-1.68,0.0,0.06056832894682884,392,19499,-4.187469005584717,355,0.0003,2.225449800491333,0.0064607225358486176,,
1.0,50.0,19800,55,-1.7,0.0,0.051471877843141556,396,19699,-4.49274206161499,359,0.0003,-1.8467693328857422,0.006218826863914728,,
1.0,50.0,20000,54,-1.72,0.0,0.04861806333065033,400,19899,-4.465368747711182,365,0.0003,-2.1183948516845703,0.0059701306745409966,1.0,0.007058490054541272
1.0,50.0,20200,54,-1.69,0.0,0.04422634467482567,404,20099,-4.369339466094971,369,0.0003,-0.7552162408828735,0.005842688027769327,,
1.0,50.0,20400,54,-1.68,0.0,0.04732412099838257,408,20299,-4.350839614868164,372,0.0003,-0.36765092611312866,0.005692301783710718,,
1.0,50.0,20600,54,-1.66,0.0,0.043598856776952744,412,20499,-4.372930526733398,376,0.0003,-0.816058337688446,0.005519162397831678,,
1.0,50.0,20800,54,-1.68,0.0,0.03906899690628052,416,20699,-4.334810733795166,380,0.0003,-0.754298210144043,0.005421150010079145,,
1.0,50.0,21000,54,-1.71,0.0,0.04949725419282913,420,20899,-4.292117595672607,384,0.0003,1.0643093585968018,0.005308058112859726,,
1.0,50.0,21200,54,-1.69,0.0,0.04260673746466637,424,21099,-4.27119255065918,387,0.0003,-1.4556838274002075,0.005234081298112869,,
1.0,50.0,21400,54,-1.7,0.0,0.04073874652385712,428,21299,-4.375380992889404,391,0.0003,-3.5026395320892334,0.005095961503684521,,
1.0,50.0,21600,54,-1.74,0.0,0.043439142405986786,432,21499,-4.175229072570801,395,0.0003,-0.32070252299308777,0.004956809338182211,,
1.0,50.0,21800,54,-1.74,0.0,0.03879677131772041,436,21699,-4.30303430557251,399,0.0003,-1.3313108682632446,0.0048209442757070065,,
1.0,50.0,22000,54,-1.71,0.0,0.04509207233786583,440,21899,-4.163390636444092,402,0.0003,-0.4105360507965088,0.004751378670334816,,
1.0,50.0,22200,54,-1.76,0.0,0.04040409252047539,444,22099,-4.340503692626953,406,0.0003,0.31897833943367004,0.004638072103261948,,
1.0,50.0,22400,54,-1.73,0.0,0.04003428667783737,448,22299,-4.0510478019714355,410,0.0003,-2.1314215660095215,0.0045569888316094875,,
1.0,50.0,22600,54,-1.77,0.0,0.04666883870959282,452,22499,-4.3487629890441895,414,0.0003,-0.9344862699508667,0.004436230752617121,,
1.0,50.0,22800,54,-1.75,0.0,0.0459614135324955,456,22699,-4.053815841674805,419,0.0003,0.04486119747161865,0.004356924444437027,,
1.0,50.0,23000,54,-1.79,0.0,0.049285635352134705,460,22899,-3.973097324371338,424,0.0003,0.3017372488975525,0.004303467459976673,,
1.0,50.0,23200,54,-1.81,0.0,0.03768707439303398,464,23099,-4.133753776550293,428,0.0003,1.2781425714492798,0.004251448903232813,,
1.0,50.0,23400,54,-1.8,0.0,0.03396999090909958,468,23299,-4.108482360839844,432,0.0003,-0.8299528956413269,0.004273733589798212,,
1.0,50.0,23600,54,-1.8,0.0,0.04983789473772049,472,23499,-4.170310020446777,436,0.0003,-0.8527848124504089,0.004273641854524612,,
1.0,50.0,23800,54,-1.84,0.0,0.03443417698144913,476,23699,-4.108601093292236,440,0.0003,-1.9529457092285156,0.004314075224101543,,
1.0,50.0,24000,54,-1.84,0.0,0.041467517614364624,480,23899,-4.060368061065674,443,0.0003,0.014253377914428711,0.004213358275592327,,
1.0,50.0,24200,54,-1.85,0.0,0.04047917574644089,484,24099,-3.9318809509277344,447,0.0003,0.6882699131965637,0.004155418369919062,,
1.0,50.0,24400,54,-1.88,0.0,0.04375718533992767,488,24299,-4.124225616455078,451,0.0003,0.7162677049636841,0.004165101330727339,,
1.0,50.0,24600,54,-1.86,0.0,0.04174843430519104,492,24499,-3.9163131713867188,455,0.0003,1.917006015777588,0.004109688103199005,,
1.0,50.0,24800,54,-1.85,0.0,0.03775682672858238,496,24699,-3.9227466583251953,458,0.0003,0.22561731934547424,0.004103451501578093,,
1.0,50.0,25000,53,-1.83,0.0,0.03509632870554924,500,24899,-3.8241379261016846,463,0.0003,-0.9244916439056396,0.004041232168674469,1.0,0.010385818394598467
1.0,50.0,25200,53,-1.89,0.0,0.033653855323791504,504,25099,-4.024562358856201,467,0.0003,-1.5373196601867676,0.004052420146763325,,
1.0,50.0,25400,53,-1.89,0.0,0.04863719269633293,508,25299,-4.014023780822754,471,0.0003,-1.0013632774353027,0.003968014381825924,,
1.0,50.0,25600,53,-1.91,0.0,0.025508571416139603,512,25499,-3.9023876190185547,475,0.0003,-1.4465727806091309,0.0038890140131115913,,
1.0,50.0,25800,53,-1.94,0.0,0.029383305460214615,516,25699,-3.806492328643799,478,0.0003,0.0017871260643005371,0.0038492390885949135,,
1.0,50.0,26000,53,-1.91,0.0,0.0287465862929821,520,25899,-3.858741283416748,482,0.0003,-1.0565954446792603,0.0037637113127857447,,
1.0,50.0,26200,53,-1.94,0.0,0.03347993269562721,524,26099,-3.7888851165771484,486,0.0003,-2.5358502864837646,0.0036843977868556976,,
1.0,50.0,26400,53,-1.9,0.0,0.03244461119174957,528,26299,-3.905651569366455,490,0.0003,-0.31916338205337524,0.0035815436858683825,,
1.0,50.0,26600,53,-1.87,0.0,0.0369565486907959,532,26499,-3.9518284797668457,493,0.0003,-1.5612142086029053,0.003624663921073079,,
1.0,50.0,26800,53,-1.88,0.0,0.02840612083673477,536,26699,-3.8097097873687744,497,0.0003,-0.16222576797008514,0.0036164014600217342,,
1.0,50.0,27000,53,-1.88,0.0,0.0335523746907711,540,26899,-3.7385473251342773,500,0.0003,-2.190523624420166,0.0035730472300201654,,
1.0,50.0,27200,53,-1.85,0.0,0.07247167825698853,544,27099,-3.440089225769043,504,0.0003,2.429032325744629,0.0035467753186821938,,
1.0,50.0,27400,53,-1.88,0.0,0.04231377691030502,548,27299,-3.6965341567993164,508,0.0003,0.8492096662521362,0.0034827599301934242,,
1.0,50.0,27600,53,-1.86,0.0,0.03747496008872986,552,27499,-3.6273186206817627,511,0.0003,3.5395898818969727,0.0034463019110262394,,
1.0,50.0,27800,53,-1.88,0.0,0.03326016664505005,556,27699,-3.6847493648529053,515,0.0003,-1.7564785480499268,0.003535532858222723,,
1.0,50.0,28000,53,-1.88,0.0,0.03251790255308151,560,27899,-3.4693450927734375,519,0.0003,2.0142016410827637,0.0034713379573076963,,
1.0,50.0,28200,53,-1.88,0.0,0.03140125796198845,564,28099,-3.5535545349121094,522,0.0003,-0.30640241503715515,0.0034671048633754253,,
1.0,50.0,28400,53,-1.87,0.0,0.034144870936870575,568,28299,-3.5460000038146973,526,0.0003,-3.0390758514404297,0.0033885177690535784,,
1.0,50.0,28600,53,-1.89,0.0,0.035291872918605804,572,28499,-3.5139966011047363,530,0.0003,2.614368438720703,0.0033036242239177227,,
1.0,50.0,28800,53,-1.87,0.0,0.02885458432137966,576,28699,-3.5255422592163086,533,0.0003,0.9615266919136047,0.003345964476466179,,
1.0,50.0,29000,53,-1.82,0.0,0.03253931924700737,580,28899,-3.6556522846221924,537,0.0003,-1.9369858503341675,0.0034003756009042263,,
1.0,50.0,29200,53,-1.79,0.0,0.028469454497098923,584,29099,-3.4901678562164307,540,0.0003,-1.3260029554367065,0.003302751574665308,,
1.0,50.0,29400,53,-1.76,0.0,0.029240094125270844,588,29299,-3.329549789428711,544,0.0003,3.706233263015747,0.003253848757594824,,
1.0,50.0,29600,53,-1.78,0.0,0.035531915724277496,592,29499,-3.4620697498321533,548,0.0003,-1.7910264730453491,0.003242211416363716,,
1.0,50.0,29800,53,-1.8,0.0,0.028890319168567657,596,29699,-3.373433828353882,552,0.0003,0.653897225856781,0.0032176475506275892,,
1.0,50.0,30000,53,-1.8,0.0,0.03601638227701187,600,29899,-3.3566417694091797,557,0.0003,2.2753965854644775,0.0031979007180780172,1.0,0.011381942132657885
1.0,50.0,30200,53,-1.79,0.0,0.03233611211180687,604,30099,-3.452125072479248,560,0.0003,1.7763843536376953,0.0032964125275611877,,
1.0,50.0,30400,53,-1.84,0.0,0.028501853346824646,608,30299,-3.434185028076172,564,0.0003,-1.2433948516845703,0.003207673318684101,,
1.0,50.0,30600,53,-1.84,0.0,0.03604743629693985,612,30499,-3.3273239135742188,568,0.0003,0.26849573850631714,0.003123897360637784,,
1.0,50.0,30800,53,-1.83,0.0,0.03458227589726448,616,30699,-3.411864995956421,571,0.0003,-0.6791903972625732,0.0031276161316782236,,
1.0,50.0,31000,53,-1.82,0.0,0.029490914195775986,620,30899,-3.359837293624878,575,0.0003,1.2949703931808472,0.0031877702567726374,,
1.0,50.0,31200,53,-1.8,0.0,0.0307817030698061,624,31099,-3.3779430389404297,579,0.0003,0.7890957593917847,0.0031685223802924156,,
1.0,50.0,31400,53,-1.82,0.0,0.02803901396691799,628,31299,-3.1972761154174805,582,0.0003,0.30094900727272034,0.0031554230954498053,,
1.0,50.0,31600,53,-1.8,0.0,0.022747419774532318,632,31499,-3.3524129390716553,586,0.0003,0.5414073467254639,0.0030739675275981426,,
1.0,50.0,31800,53,-1.79,0.0,0.025280527770519257,636,31699,-3.335261106491089,590,0.0003,-1.405933141708374,0.0030338652431964874,,
1.0,50.0,32000,53,-1.82,0.0,0.026111751794815063,640,31899,-3.1059069633483887,593,0.0003,-0.5789391398429871,0.0031400369480252266,,
1.0,50.0,32200,53,-1.83,0.0,0.029127955436706543,644,32099,-3.1642885208129883,597,0.0003,0.5613106489181519,0.003032713895663619,,
1.0,50.0,32400,53,-1.83,0.0,0.04199083149433136,648,32299,-3.281580924987793,601,0.0003,-0.22131498157978058,0.003019673516973853,,
1.0,50.0,32600,53,-1.82,0.0,0.025122597813606262,652,32499,-3.176439046859741,604,0.0003,-0.18038123846054077,0.002901884727180004,,
