time/episodes,rollout/success_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,curriculum/epsilon,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,eval/clean_mean_d,eval/clean_success_rate
344,0.9800000190734863,-4.038304328918457,-3.79,20,0.7568,0.10679937154054642,0.010701267048716545,0.0003,17099,50.0,17200,-4.385892868041992,825,,
348,0.9800000190734863,-2.3942859172821045,-3.84,20,0.7656,0.12392275035381317,0.010249069891870022,0.0003,17299,50.0,17400,-4.418647766113281,835,,
352,0.9800000190734863,-3.419590950012207,-3.92,20,0.7744,0.12899218499660492,0.009857402183115482,0.0003,17499,50.0,17600,-4.325335502624512,844,,
356,0.9900000095367432,-2.735673666000366,-3.69,20,0.7832,0.1150871217250824,0.009432930499315262,0.0003,17699,50.0,17800,-4.573934078216553,853,,
360,0.9900000095367432,-3.7043564319610596,-3.8,20,0.7919999999999999,0.1094619408249855,0.009107938967645168,0.0003,17899,50.0,18000,-4.642693996429443,863,,
364,0.9900000095367432,-1.771803617477417,-3.85,20,0.8008,0.10731762647628784,0.00877241138368845,0.0003,18099,50.0,18200,-4.29550838470459,873,,
368,0.9900000095367432,-2.58247971534729,-3.95,20,0.8096,0.12468995153903961,0.0084200045093894,0.0003,18299,50.0,18400,-4.315072059631348,882,,
372,0.9900000095367432,-0.3106335997581482,-3.97,20,0.8184,0.10965810716152191,0.0081352349370718,0.0003,18499,50.0,18600,-4.364420413970947,892,,
376,0.9900000095367432,-1.4457409381866455,-4.06,20,0.8271999999999999,0.12040676176548004,0.007922605611383915,0.0003,18699,50.0,18800,-4.531729221343994,901,,
380,0.9900000095367432,-1.0642921924591064,-4.27,20,0.836,0.11423726379871368,0.007681438233703375,0.0003,18899,50.0,19000,-4.4104228019714355,911,,
384,0.9900000095367432,-0.16269174218177795,-4.14,20,0.8448,0.11081722378730774,0.0075136697851121426,0.0003,19099,50.0,19200,-4.501307487487793,921,,
388,0.9900000095367432,-2.0147523880004883,-4.1,20,0.8536,0.12090392410755157,0.007313668727874756,0.0003,19299,50.0,19400,-4.561591625213623,930,,
392,0.9800000190734863,0.8811866641044617,-4.39,20,0.8623999999999999,0.12006093561649323,0.007160959765315056,0.0003,19499,50.0,19600,-4.418976783752441,940,,
396,0.9700000286102295,-1.8957152366638184,-4.69,20,0.8712,0.14610284566879272,0.006948064547032118,0.0003,19699,50.0,19800,-4.73539924621582,949,,
400,0.9700000286102295,-1.8525943756103516,-4.69,20,0.88,0.10665097087621689,0.006908259354531765,0.0003,19899,50.0,20000,-4.820261001586914,962,0.015512783805108316,1.0
404,0.9700000286102295,0.44034695625305176,-4.82,20,0.8887999999999999,0.10602064430713654,0.006913254968822002,0.0003,20099,50.0,20200,-4.766668796539307,972,,
408,0.9700000286102295,-0.4831644594669342,-5.0,20,0.8976,0.12571069598197937,0.0068816253915429115,0.0003,20299,50.0,20400,-4.749045372009277,982,,
412,0.9700000286102295,-1.320162057876587,-4.95,20,0.9064,0.10787941515445709,0.0067376126535236835,0.0003,20499,50.0,20600,-4.723849773406982,991,,
416,0.9599999785423279,-1.0507349967956543,-5.1,20,0.9152,0.11899713426828384,0.006558297201991081,0.0003,20699,50.0,20800,-4.722189426422119,1001,,
420,0.9399999976158142,-1.4110177755355835,-5.85,20,0.9239999999999999,0.1142437756061554,0.006440428085625172,0.0003,20899,50.0,21000,-4.902225494384766,1010,,
424,0.9399999976158142,-1.3123586177825928,-6.16,20,0.9328,0.1002541333436966,0.006324131041765213,0.0003,21099,50.0,21200,-4.7716264724731445,1020,,
428,0.9300000071525574,-2.411555767059326,-6.54,20,0.9416,0.12531796097755432,0.006207855883985758,0.0003,21299,50.0,21400,-4.851779937744141,1029,,
432,0.9200000166893005,-0.7141339182853699,-7.13,20,0.9504,0.09730671346187592,0.006008402444422245,0.0003,21499,50.0,21600,-4.673211097717285,1039,,
436,0.9200000166893005,-1.0304452180862427,-7.49,20,0.9591999999999999,0.10961268842220306,0.005917962174862623,0.0003,21699,50.0,21800,-4.937150001525879,1048,,
440,0.9200000166893005,-1.115766167640686,-7.84,20,0.968,0.12327669560909271,0.005917801521718502,0.0003,21899,50.0,22000,-4.901072025299072,1058,,
444,0.9100000262260437,0.11286109685897827,-8.42,20,0.9768,0.11189945787191391,0.005845608655363321,0.0003,22099,50.0,22200,-5.001426696777344,1067,,
448,0.9100000262260437,-1.8415257930755615,-8.45,20,0.9855999999999999,0.10239705443382263,0.005716921761631966,0.0003,22299,50.0,22400,-5.1345953941345215,1077,,
452,0.8999999761581421,-0.33345529437065125,-8.76,20,0.9944,0.13303884863853455,0.005648989696055651,0.0003,22499,50.0,22600,-5.0266852378845215,1087,,
456,0.8899999856948853,1.0838207006454468,-8.89,20,1.0031999999999999,0.12177922576665878,0.005661531817167997,0.0003,22699,50.0,22800,-4.827013969421387,1096,,
460,0.8899999856948853,1.3108699321746826,-9.04,20,1.012,0.1253923922777176,0.005667165853083134,0.0003,22899,50.0,23000,-4.7799553871154785,1106,,
464,0.8799999952316284,0.1516667604446411,-9.39,20,1.0208,0.1190904825925827,0.0054268063977360725,0.0003,23099,50.0,23200,-4.7687883377075195,1115,,
468,0.8700000047683716,-1.3436305522918701,-9.99,20,1.0296,0.12728336453437805,0.005251901689916849,0.0003,23299,50.0,23400,-5.039948463439941,1125,,
