train/actor_loss,train/ent_coef_loss,train/n_updates,time/episodes,time/fps,train/ent_coef,time/total_timesteps,curriculum/epsilon,rollout/success_rate,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,eval/clean_success_rate,eval/clean_mean_d
-2.585355043411255,-10.782942771911621,10699,216,15,0.0471317283809185,10800,0.029193999999999998,0.20999999344348907,-37.71,0.1447773277759552,0.0003,50.0,685,,
-2.396787405014038,-10.347853660583496,10899,220,15,0.04485275223851204,11000,0.033594,0.25,-35.96,0.1327408105134964,0.0003,50.0,697,,
-2.055281400680542,-9.338800430297852,11099,224,15,0.042727090418338776,11200,0.037994,0.28999999165534973,-34.2,0.14717638492584229,0.0003,50.0,710,,
-1.9927908182144165,-9.947420120239258,11299,228,15,0.0407322496175766,11400,0.042394,0.3199999928474426,-32.51,0.126361683011055,0.0003,50.0,723,,
-1.9346071481704712,-9.200081825256348,11499,232,15,0.03883965685963631,11600,0.046793999999999995,0.36000001430511475,-30.75,0.12414342164993286,0.0003,50.0,735,,
-1.8358473777770996,-10.290266990661621,11699,236,15,0.03707626089453697,11800,0.051193999999999996,0.38999998569488525,-29.17,0.11953829228878021,0.0003,50.0,748,,
-1.2727975845336914,-8.929064750671387,11899,240,15,0.035331085324287415,12000,0.055594,0.4300000071525574,-27.36,0.1091860830783844,0.0003,50.0,763,,
-1.248337984085083,-8.354575157165527,12099,244,15,0.03373382240533829,12200,0.059994,0.4699999988079071,-25.51,0.13242405652999878,0.0003,50.0,777,,
-1.0776433944702148,-8.075075149536133,12299,248,15,0.03220018371939659,12400,0.06439399999999999,0.5,-23.63,0.11028140038251877,0.0003,50.0,790,,
-0.9603136777877808,-6.913373947143555,12499,252,15,0.030733350664377213,12600,0.068794,0.5199999809265137,-21.84,0.15573814511299133,0.0003,50.0,802,,
-0.9231725931167603,-8.188532829284668,12699,256,15,0.029320180416107178,12800,0.073194,0.5600000023841858,-20.14,0.10921692848205566,0.0003,50.0,815,,
-0.7940425872802734,-7.480033874511719,12899,260,15,0.02796575427055359,13000,0.077594,0.5899999737739563,-18.59,0.09761111438274384,0.0003,50.0,828,,
-0.6255890130996704,-6.831648349761963,13099,264,15,0.02671074867248535,13200,0.081994,0.6299999952316284,-17.03,0.11774417757987976,0.0003,50.0,840,,
-0.871100664138794,-6.848329544067383,13299,268,15,0.025553127750754356,13400,0.086394,0.6700000166893005,-15.24,0.12735487520694733,0.0003,50.0,853,,
-0.5962939858436584,-7.28369665145874,13499,272,15,0.024399347603321075,13600,0.090794,0.699999988079071,-13.45,0.12434229254722595,0.0003,50.0,866,,
-0.6907014846801758,-6.291956424713135,13699,276,15,0.023334406316280365,13800,0.095194,0.7400000095367432,-12.14,0.118381068110466,0.0003,50.0,878,,
-0.30817335844039917,-4.26356315612793,13899,280,15,0.022438649088144302,14000,0.099594,0.7699999809265137,-10.97,0.12393040955066681,0.0003,50.0,891,,
-0.4838871359825134,-6.251006603240967,14099,284,15,0.021549809724092484,14200,0.103994,0.800000011920929,-9.68,0.15797847509384155,0.0003,50.0,905,,
-0.5634230375289917,-5.486763000488281,14299,288,15,0.020654747262597084,14400,0.10839399999999999,0.8299999833106995,-8.52,0.12054041028022766,0.0003,50.0,918,,
-0.7039650678634644,-7.0736799240112305,14499,292,15,0.019675755873322487,14600,0.11279399999999999,0.8500000238418579,-7.54,0.12104558199644089,0.0003,50.0,931,,
-0.22281119227409363,-4.403136730194092,14699,296,15,0.018739858642220497,14800,0.11719399999999999,0.8700000047683716,-6.48,0.11671125888824463,0.0003,50.0,944,,
