rollout/success_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,curriculum/epsilon,train/critic_loss,time/episodes,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/clean_success_rate,eval/clean_mean_d
1.0,50.0,19800,56,-1.62,0.0,0.052437618374824524,396,19699,-2.867652416229248,352,0.0003,-0.6190703511238098,0.00740530202165246,,
1.0,50.0,20000,55,-1.64,0.0,0.06223832815885544,400,19899,-2.852060317993164,358,0.0003,0.03033044934272766,0.007275522220879793,1.0,0.01330577647514657
1.0,50.0,20200,55,-1.61,0.0,0.06755615770816803,404,20099,-2.8848536014556885,361,0.0003,-0.9799696207046509,0.007192714139819145,,
1.0,50.0,20400,55,-1.64,0.0,0.05770401284098625,408,20299,-2.583393096923828,365,0.0003,0.3254261016845703,0.00706745870411396,,
1.0,50.0,20600,55,-1.62,0.0,0.06986354291439056,412,20499,-3.047146797180176,369,0.0003,-0.7867634892463684,0.006929886061698198,,
1.0,50.0,20800,55,-1.61,0.0,0.06304796040058136,416,20699,-2.919083833694458,373,0.0003,0.4762163758277893,0.006817215587943792,,
1.0,50.0,21000,55,-1.64,0.0,0.052457235753536224,420,20899,-2.897519111633301,377,0.0003,-1.0735328197479248,0.006635215133428574,,
1.0,50.0,21200,55,-1.62,0.0,0.054645322263240814,424,21099,-2.7849512100219727,381,0.0003,0.9396498799324036,0.006513515487313271,,
1.0,50.0,21400,55,-1.59,0.0,0.05999084562063217,428,21299,-2.719620704650879,385,0.0003,-1.4820220470428467,0.006444575265049934,,
1.0,50.0,21600,55,-1.63,0.0,0.047555580735206604,432,21499,-2.8410117626190186,389,0.0003,-1.6867616176605225,0.00638950988650322,,
1.0,50.0,21800,55,-1.65,0.0,0.056901171803474426,436,21699,-2.951197862625122,392,0.0003,-0.5209187865257263,0.006284983828663826,,
1.0,50.0,22000,55,-1.67,0.0,0.04671375826001167,440,21899,-2.999479055404663,396,0.0003,-2.2965240478515625,0.006278750486671925,,
1.0,50.0,22200,55,-1.64,0.0,0.05601883679628372,444,22099,-2.708768367767334,400,0.0003,-0.18927130103111267,0.0061888014897704124,,
1.0,50.0,22400,55,-1.66,0.0,0.04827527701854706,448,22299,-2.75705623626709,404,0.0003,0.5833742022514343,0.006124203093349934,,
1.0,50.0,22600,55,-1.69,0.0,0.0612499825656414,452,22499,-2.871095657348633,408,0.0003,-0.7490348815917969,0.006122562102973461,,
1.0,50.0,22800,55,-1.71,0.0,0.04656456783413887,456,22699,-2.797475814819336,412,0.0003,0.2120300680398941,0.00606396421790123,,
1.0,50.0,23000,55,-1.73,0.0,0.04363489896059036,460,22899,-2.892793655395508,416,0.0003,-1.0396958589553833,0.005936304572969675,,
1.0,50.0,23200,55,-1.73,0.0,0.05002333223819733,464,23099,-2.6720335483551025,420,0.0003,0.6662883758544922,0.00584648922085762,,
1.0,50.0,23400,55,-1.72,0.0,0.039704907685518265,468,23299,-2.8677151203155518,423,0.0003,-0.8262311220169067,0.005930131301283836,,
